delta(mm) h R(mm) rho mu E V_bc(mm/s) delta_std V_bc_std
3.113772455089822 6.4 4.0 0.0078 127.9153697 77288.96056 1510.2840010874042 2.0025091597477093e-15 1.161660552260767
2.943557422969188 6.4 4.0 0.0078 127.9153697 77288.96056 1314.8975435776929 0.0265082308591026 6.92209658677934
2.46792130025663 6.4 4.0 0.0078 127.9153697 77288.96056 1023.3236666967496 0.0165383518676919 3.428709500751514
2.2720273738237813 6.4 4.0 0.0078 127.9153697 77288.96056 891.7996497540685 0.018741575962539 3.2504871073901818
2.0476190476190483 6.4 4.0 0.0078 127.9153697 77288.96056 691.8555059316493 1.7763568394002505e-15 0.5561622568909139
1.7333333333333345 6.4 4.0 0.0078 127.9153697 77288.96056 549.2101191130039 0.0260820265478649 0.9537822422728508
1.3612774451097809 6.4 4.0 0.0078 127.9153697 77288.96056 402.07020587332016 0.0353089292418764 2.1433470807133506
1.238665526090675 6.4 4.0 0.0078 127.9153697 77288.96056 316.0671882393001 0.018106082539364 0.647390144979102
3.984251968503937 6.4 3.0 0.0078 127.9153697 77288.96056 3126.07452906658 0.0545527813407519 2.0081006858996338
3.1199999999999988 6.4 3.0 0.0078 127.9153697 77288.96056 2241.2623473854906 0.0391918358845312 1.8869301040327704
2.469870967741934 6.4 3.0 0.0078 127.9153697 77288.96056 1539.7596976491766 0.0197495241581787 5.510668580310714
2.2937419354838697 6.4 3.0 0.0078 127.9153697 77288.96056 1331.4508183411012 0.0238130072274666 4.419614238899698
1.9614967741935487 6.4 3.0 0.0078 127.9153697 77288.96056 1057.3948709021645 0.0145416549762558 3.3750059627335034
1.816412903225808 6.4 3.0 0.0078 127.9153697 77288.96056 918.9823362205432 0.0245625028298282 3.034791653363688
1.6935483870967751 6.4 3.0 0.0078 127.9153697 77288.96056 738.1094638716553 0.0342148442509622 0.7859051710885105
1.5361935483870963 6.4 3.0 0.0078 127.9153697 77288.96056 611.8673869840137 0.0562209258888925 2.778491727249146
1.3320994182971984 6.4 3.0 0.0078 127.9153697 77288.96056 509.56633776630485 0.0831322334243579 3.4799096311597864
1.05009424801508 6.4 3.0 0.0078 127.9153697 77288.96056 371.4395375196908 0.021586073916957 1.6506997795716798
